algorithm,scenario,trial,duration_seconds,seed,avg_throughput_gbps,min_throughput_gbps,max_throughput_gbps,deadlock_fraction,recovery_time_us,packets_forwarded,packets_dropped_ttl,packets_dropped_overflow,collateral_drops,deadlock_occurred,recovered
No Timeout (Baseline),Ring3_Severe,10,1.4574341773986816,102,25.291200000000003,0.0,1264.5600000000002,0.98,0.0,10538.0,0.0,123466.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,11,1.2187657356262207,103,21.307199999999998,0.0,1065.36,0.98,0.0,8878.0,0.0,123527.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,12,1.1830952167510986,104,23.846400000000003,0.0,1192.3200000000002,0.98,0.0,9936.0,0.0,123298.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,13,1.2028639316558838,105,20.270400000000002,0.0,1013.52,0.98,0.0,8446.0,0.0,123431.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,14,1.2060277462005615,106,21.9816,0.0,1099.08,0.98,0.0,9159.0,0.0,123573.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,15,1.230691909790039,107,22.692,0.0,1134.6,0.98,0.0,9455.0,0.0,123495.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,16,1.2078361511230469,108,22.888800000000003,0.0,1144.44,0.98,0.0,9537.0,0.0,123483.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,17,1.2171149253845215,109,24.268800000000002,0.0,1213.44,0.98,0.0,10112.0,0.0,123636.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,18,1.2447831630706787,110,22.615199999999998,0.0,1130.76,0.98,0.0,9423.0,0.0,123334.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,19,1.2158737182617188,111,22.8744,0.0,1143.72,0.98,0.0,9531.0,0.0,123392.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,20,1.197023868560791,112,22.365599999999997,0.0,1118.28,0.98,0.0,9319.0,0.0,123492.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,21,1.2147159576416016,113,23.3424,0.0,1167.1200000000001,0.98,0.0,9726.0,0.0,123481.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,22,1.211759090423584,114,21.991199999999996,0.0,1099.56,0.98,0.0,9163.0,0.0,123318.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,23,1.1819429397583008,115,24.943200000000004,0.0,1247.16,0.98,0.0,10393.0,0.0,123741.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,24,1.1962182521820068,116,23.1504,0.0,1157.52,0.98,0.0,9646.0,0.0,123445.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,25,1.2069990634918213,117,22.730400000000003,0.0,1136.52,0.98,0.0,9471.0,0.0,123449.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,26,1.2162230014801025,118,23.2392,0.0,1161.96,0.98,0.0,9683.0,0.0,123235.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,27,1.2150001525878906,119,23.635199999999998,0.0,1181.76,0.98,0.0,9848.0,0.0,123555.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,28,1.3033092021942139,120,24.928800000000003,0.0,1246.44,0.98,0.0,10387.0,0.0,123163.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,29,1.2072827816009521,121,23.479200000000002,0.0,1173.96,0.98,0.0,9783.0,0.0,123393.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,30,1.2512524127960205,122,21.328800000000005,0.0,1066.44,0.98,0.0,8887.0,0.0,123417.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,31,1.1950383186340332,123,20.637600000000003,0.0,1031.88,0.98,0.0,8599.0,0.0,123570.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,32,1.1909561157226562,124,21.568800000000003,0.0,1078.44,0.98,0.0,8987.0,0.0,123432.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,33,1.2472472190856934,125,24.4704,0.0,1223.52,0.98,0.0,10196.0,0.0,123553.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,34,1.1656301021575928,126,23.911199999999997,0.0,1195.56,0.98,0.0,9963.0,0.0,123309.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,35,1.1725890636444092,127,22.137600000000003,0.0,1106.88,0.98,0.0,9224.0,0.0,123437.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,36,1.183048963546753,128,24.2904,0.0,1214.52,0.98,0.0,10121.0,0.0,123617.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,37,1.1805567741394043,129,21.336000000000002,0.0,1066.8000000000002,0.98,0.0,8890.0,0.0,123579.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,38,1.2577571868896484,130,22.3512,0.0,1117.56,0.98,0.0,9313.0,0.0,123374.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,39,1.2070939540863037,131,26.836800000000004,0.0,1341.8400000000001,0.98,0.0,11182.0,0.0,123502.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,40,1.2225000858306885,132,24.520799999999998,0.0,1226.04,0.98,0.0,10217.0,0.0,123549.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,41,1.2161729335784912,133,24.895199999999996,0.0,1244.76,0.98,0.0,10373.0,0.0,123785.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,42,1.312265157699585,134,23.078400000000002,0.0,1153.92,0.98,0.0,9616.0,0.0,123397.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,43,1.2103157043457031,135,23.856,0.0,1192.8,0.98,0.0,9940.0,0.0,123469.0,0.0,0.0,0.0
