algorithm,scenario,trial,duration_seconds,seed,completion_rate,crash_rate,jobs_completed,jobs_crashed,avg_utilization,max_utilization,avg_remote_fraction,remote_job_fraction,avg_exec_time_us,p99_exec_time_us,avg_stranded_memory_gb
Balanced Borrow (Invention),8N_30pct_Frag,49,0.008731365203857422,591,0.9896907216494846,0.0,96.0,0.0,0.40957546737398487,0.6469181360053808,0.01811356698457491,0.03125,989.1770833333334,1402.5999999999985,0.8070680445345818
Balanced Borrow (Invention),8N_50pct_Frag,0,0.009387969970703125,592,1.0,0.0,100.0,0.0,0.6179894214229052,0.9293504765221268,0.06991788387837183,0.14,1085.73,2535.42,0.5226902176896925
Balanced Borrow (Invention),8N_50pct_Frag,1,0.009309053421020508,593,1.0,0.0,100.0,0.0,0.6237845123988338,0.8863380354155956,0.05967754410362277,0.12,1085.13,2271.640000000001,1.866358710601212
Balanced Borrow (Invention),8N_50pct_Frag,2,0.009266853332519531,594,0.9891304347826086,0.0,91.0,0.0,0.601304257096365,0.8184390467878153,0.0296932497604643,0.07692307692307693,1011.2637362637363,2184.4999999999986,0.7999669346092804
Balanced Borrow (Invention),8N_50pct_Frag,3,0.008498907089233398,595,1.0,0.0,80.0,0.0,0.5983099505889823,0.822071599352855,0.04387807138572749,0.1,1027.525,1732.9699999999996,1.551656382956423
Balanced Borrow (Invention),8N_50pct_Frag,4,0.008594989776611328,596,0.9885057471264368,0.0,86.0,0.0,0.6093821146316413,0.9543958383784297,0.037933771852141106,0.10465116279069768,1076.4767441860465,2010.8000000000009,3.2861731680100106
Balanced Borrow (Invention),8N_50pct_Frag,5,0.008733987808227539,597,1.0,0.0,85.0,0.0,0.6058484949527588,0.8993394606678733,0.02613688159524456,0.08235294117647059,1071.164705882353,1702.239999999995,3.037883427322104
Balanced Borrow (Invention),8N_50pct_Frag,6,0.008610725402832031,598,0.9885057471264368,0.0,86.0,0.0,0.604751973230114,0.9154420550630987,0.050879744507820145,0.12790697674418605,1018.5116279069767,1944.5500000000006,0.9072919359463052
Balanced Borrow (Invention),8N_50pct_Frag,7,0.008784770965576172,599,1.0,0.0,87.0,0.0,0.6112609770120186,0.8558052209492812,0.0201516142499213,0.06896551724137931,1034.0459770114942,1676.5400000000002,1.378422949702751
Balanced Borrow (Invention),8N_50pct_Frag,8,0.008794069290161133,600,0.9775280898876404,0.0,87.0,0.0,0.600196393872719,0.8929727961018038,0.08019648319960786,0.13793103448275862,1073.8275862068965,2170.18,2.802718323933889
Balanced Borrow (Invention),8N_50pct_Frag,9,0.008753299713134766,601,0.9578947368421052,0.0,91.0,0.0,0.6171856857816619,0.9394270103708384,0.008802905032721686,0.04395604395604396,1010.054945054945,1470.1999999999998,2.7692330158299705
Balanced Borrow (Invention),8N_50pct_Frag,10,0.008819103240966797,602,0.9893617021276596,0.0,93.0,0.0,0.6179119729071036,0.9728592602177799,0.04614807547440008,0.11827956989247312,1061.8064516129032,1997.1599999999994,2.2034674729075467
